MAP=weightless gamma=1.0 G=12 um=5.0  (continuation = warm tau-ladder; cold = no-learning)
  tau |  CONT 1-R2     scat       res |  COLD 1-R2     scat       res
 0.50 |    0.00001  0.00001   6.2e-05 |    0.00001  0.00001   6.2e-05  (5s)
 0.75 |    0.00000  0.00000   3.3e-04 |    0.00000  0.00000   4.3e-04  (6s)
 1.00 |    0.00000  0.00000   1.1e-03 |    0.00000  0.00000   9.4e-04  (5s)
 1.40 |    0.00000  0.00000   1.2e-03 |    0.00000  0.00000   3.9e-03  (5s)
 1.80 |    0.00000  0.00000   3.0e-03 |    0.00006  0.00006   7.3e-03  (5s)
 2.20 |    0.00110  0.00007   1.5e-03 |    0.00234  0.00175   3.1e-03  (5s)
 2.60 |    0.00659  0.00060   2.3e-03 |    0.00676  0.00128   8.0e-03  (5s)
 3.00 |    0.00038  0.00014   2.3e-03 |    0.00136  0.00076   7.8e-03  (5s)
 3.50 |    0.00022  0.00022   4.6e-03 |    0.00136  0.00044   5.9e-03  (6s)
 4.00 |    0.00001  0.00001   4.6e-03 |    0.00106  0.00105   4.6e-03  (5s)
