gamma,tau,one_minus_R2,slope,G
0.1,1.2,0.075988,0.777746,17
0.1,1.4,0.091521,0.738658,17
0.1,1.5,0.076669,0.771633,17
0.1,1.7,0.087046,0.740053,17
0.1,5.0,0.095482,0.477166,17
0.1,8.0,0.075845,0.455861,17
0.1,10.0,0.064176,0.454982,17
0.13,8.0,0.075772,0.457238,17
0.13,10.0,0.064116,0.456009,17
0.25,0.3,0.040513,0.949586,17
0.25,0.5,0.030548,0.936913,16
0.25,0.8,0.053461,0.871059,17
0.25,1.0,0.069081,0.812851,16
0.25,1.5,0.082080,0.750994,17
0.25,2.0,0.098723,0.668309,17
0.25,3.0,0.102839,0.642461,21
0.35,2.0,0.084946,0.736366,17
0.5,1.3,0.069108,0.816096,12
0.5,2.0,0.084753,0.730345,17
0.5,3.0,0.108585,0.607891,12
0.5,4.0,0.092353,0.651605,17
0.5,5.0,0.094394,0.500018,17
0.5,7.0,0.081441,0.478315,17
0.5,10.0,0.063645,0.468333,17
0.5,12.0,0.054278,0.466960,17
0.5,15.0,0.042296,0.469021,17
0.5,20.0,0.026446,0.477121,17
0.75,1.5,0.065190,0.825016,16
1.0,2.5,0.098596,0.676994,17
1.0,3.0,0.096737,0.670659,21
1.0,4.0,0.095628,0.626383,21
